WaterLevel,Hora
0.544,0
0.6890000000000001,1
0.7390000000000001,2
0.698,3
0.594,4
0.39899999999999997,5
0.222,6
0.099,7
0.057999999999999996,8
0.131,9
0.257,10
0.466,11
0.662,12
0.838,13
0.9359999999999999,14
0.912,15
0.7829999999999999,16
0.597,17
0.38299999999999995,18
0.18899999999999997,19
0.059000000000000004,20
0.031,21
0.091,22
0.237,23
0.43200000000000005,24
0.606,25
0.721,26
0.759,27
0.6890000000000001,28
0.55,29
0.36,30
0.18,31
0.087,32
0.078,33
0.138,34
0.27899999999999997,35
0.47700000000000004,36
0.65,37
0.785,38
0.835,39
0.78,40
0.642,41
0.447,42
0.23199999999999998,43
0.08,44
0.004,45
0.008,46
0.102,47
0.249,48
0.45299999999999996,49
0.591,50
0.684,51
0.7070000000000001,52
0.639,53
0.517,54
0.341,55
0.198,56
0.11,57
0.121,58
0.20800000000000002,59
0.369,60
0.552,61
0.7190000000000001,62
0.821,63
0.8540000000000001,64
0.779,65
0.634,66
0.45299999999999996,67
0.272,68
0.14,69
0.092,70
0.139,71
0.252,72
0.436,73
0.612,74
0.765,75
0.835,76
0.813,77
0.726,78
0.568,79
0.40299999999999997,80
0.273,81
0.21,82
0.22399999999999998,83
0.312,84
0.45799999999999996,85
0.629,86
0.764,87
0.86,88
0.868,89
0.787,90
0.647,91
0.46399999999999997,92
0.299,93
0.185,94
0.16,95
0.22,96
0.34600000000000003,97
0.512,98
0.682,99
0.825,100
0.868,101
0.8420000000000001,102
0.743,103
0.604,104
0.429,105
0.303,106
0.235,107
0.247,108
0.36,109
0.501,110
0.6579999999999999,111
0.8140000000000001,112
0.889,113
0.887,114
0.821,115
0.6759999999999999,116
0.493,117
0.34,118
0.21100000000000002,119
0.166,120
0.192,121
0.33299999999999996,122
0.519,123
0.688,124
0.823,125
0.9129999999999999,126
0.897,127
0.816,128
0.6579999999999999,129
0.509,130
0.377,131
0.31,132
0.314,133
0.395,134
0.534,135
0.688,136
0.805,137
0.887,138
0.8809999999999999,139
0.795,140
0.654,141
0.46299999999999997,142
0.289,143
0.18100000000000002,144
0.15,145
0.20199999999999999,146
0.35100000000000003,147
0.541,148
0.72,149
0.88,150
0.9570000000000001,151
0.951,152
0.8390000000000001,153
0.6829999999999999,154
0.5,155
0.35700000000000004,156
0.239,157
0.239,158
0.304,159
0.43,160
0.562,161
0.703,162
0.773,163
0.7809999999999999,164
0.7,165
0.5539999999999999,166
0.375,167
0.22699999999999998,168
0.125,169
0.122,170
0.168,171
0.34299999999999997,172
0.536,173
0.769,174
0.9209999999999999,175
1.016,176
0.998,177
0.885,178
0.726,179
0.513,180
0.345,181
0.268,182
0.239,183
0.318,184
0.469,185
0.622,186
0.7959999999999999,187
0.879,188
0.8540000000000001,189
0.773,190
0.627,191
0.434,192
0.24600000000000002,193
0.15,194
0.107,195
0.18100000000000002,196
0.386,197
0.575,198
0.7929999999999999,199
0.9540000000000001,200
1.0290000000000001,201
0.975,202
0.845,203
0.664,204
0.41,205
0.21100000000000002,206
0.042,207
0.017,208
0.087,209
0.24,210
0.423,211
0.602,212
0.701,213
0.725,214
0.614,215
0.44799999999999995,216
0.253,217
0.057999999999999996,218
-0.057,219
-0.107,220
-0.001,221
0.162,222
0.428,223
0.69,224
0.873,225
0.956,226
0.948,227
0.81,228
0.607,229
0.33299999999999996,230
0.109,231
-0.033,232
-0.077,233
0.04,234
0.207,235
0.431,236
0.628,237
0.757,238
0.772,239
0.6509999999999999,240
0.469,241
0.235,242
0.036000000000000004,243
-0.099,244
-0.153,245
-0.042,246
0.16899999999999998,247
0.444,248
0.7390000000000001,249
0.9359999999999999,250
1.032,251
0.99,252
0.813,253
0.5820000000000001,254
0.313,255
0.07400000000000001,256
-0.084,257
-0.11900000000000001,258
-0.027000000000000003,259
0.162,260
0.381,261
0.573,262
0.716,263
0.6920000000000001,264
0.58,265
0.376,266
0.146,267
-0.048,268
-0.187,269
-0.18899999999999997,270
-0.061,271
0.177,272
0.478,273
0.736,274
0.945,275
1.0070000000000001,276
0.943,277
0.762,278
0.505,279
0.21600000000000003,280
-0.004,281
-0.142,282
-0.12,283
-0.002,284
0.20600000000000002,285
0.462,286
0.6629999999999999,287
0.764,288
0.774,289
0.652,290
0.452,291
0.204,292
-0.001,293
-0.109,294
-0.105,295
0.027999999999999997,296
0.268,297
0.5539999999999999,298
0.815,299
0.98,300
1.028,301
0.9470000000000001,302
0.743,303
0.479,304
0.196,305
-0.004,306
-0.099,307
-0.06,308
0.085,309
0.307,310
0.55,311
0.727,312
0.8109999999999999,313
0.774,314
0.622,315
0.395,316
0.153,317
-0.036000000000000004,318
-0.129,319
-0.11,320
0.036000000000000004,321
0.27699999999999997,322
0.5710000000000001,323
0.8140000000000001,324
0.975,325
1.012,326
0.9009999999999999,327
0.695,328
0.418,329
0.154,330
-0.01,331
